,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
94,Sofyan Amrabat,Fiorentina,27.1,1603,33,270,1091,266,12,1603,71,47,66.2,24,33.8,1051,6212,2510,38,33,3,33,48,1143,46
95,Jon Ander Garrido,Cádiz,8.9,317,24,101,179,38,7,317,3,2,66.7,1,33.3,112,364,129,0,2,0,8,5,134,3
96,Joachim Andersen,Fulham,30.3,2275,309,1259,944,90,25,2275,11,9,81.8,2,18.2,1304,7345,4043,20,13,1,10,3,1456,7
97,Joachim Andersen,Lyon,2.1,138,14,78,51,9,2,138,2,1,50.0,1,50.0,86,445,259,4,1,0,2,2,93,0
98,Djavan Anderson,Lazio,0.8,37,1,7,15,15,0,37,2,0,0.0,2,100.0,20,116,37,2,0,0,1,1,20,4
99,Elliot Anderson,Newcastle Utd,0.0,2,0,0,1,1,1,2,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0,1,1
100,Felipe Anderson,West Ham,0.0,7,0,0,4,3,1,7,0,0,0.0,0,0.0,6,78,51,2,1,0,0,0,6,0
101,Sebastian Andersson,Köln,12.5,377,13,27,199,155,53,376,6,4,66.7,2,33.3,154,631,267,6,7,5,44,9,271,55
102,Nicolas Andrade,Udinese,2.0,40,36,40,0,0,0,40,0,0,0.0,0,0.0,23,93,50,0,0,0,0,0,19,0
104,Benjamin Andre,Lille,32.1,2442,78,462,1614,392,39,2442,44,29,65.9,15,34.1,1374,5783,2712,28,43,3,40,40,1629,64
105,Marcos Andre,Valladolid,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67
106,Robert Andrich,Union Berlin,28.1,1737,62,441,1041,273,21,1737,26,19,73.1,7,26.9,857,4119,1616,25,28,3,35,12,1079,31
107,Victorien Angban,Metz,18.6,1026,20,193,662,179,10,1026,31,21,67.7,10,32.3,648,3001,1393,20,18,1,23,30,713,30
108,Angel,Granada,1.0,41,37,41,0,0,0,41,0,0,0.0,0,0.0,9,27,15,0,0,0,0,0,7,0
109,Jose Angel,Eibar,10.0,775,24,172,401,212,3,775,8,8,100.0,0,0.0,396,1953,982,14,19,1,11,5,416,24
110,Miguel Angel Rubio,Valladolid,1.5,74,12,50,23,1,1,74,0,0,0.0,0,0.0,27,107,22,0,0,0,0,0,29,0
111,Angelino,RB Leipzig,24.0,1723,35,339,743,649,79,1723,32,16,50.0,16,50.0,848,4039,2112,47,36,14,26,13,1072,242
112,Davide Angelo Ghislandi,Atalanta,0.1,4,1,1,1,2,0,4,0,0,0.0,0,0.0,3,4,2,0,0,0,0,0,3,1
113,Philip Ankhrah,Hellas Verona,0.1,2,0,0,1,1,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
114,Cristian Ansaldi,Torino,21.6,1205,60,305,481,435,31,1204,54,28,51.9,26,48.1,645,4747,2501,91,58,8,26,17,658,93
